"";"Model";"NoiseLevel";"NoiseType";"Variable";"MAPE";"sd";"ErrorType";"Model_ErrorType";"Variable_upper"
"1";"ANN";1;"Combined";"cab";2,560633676105;0,692792608481204;"Validation error";"ANN Validation error";"Cab"
"2";"GPR";1;"Combined";"cab";4,87032979152752;0,746616513922196;"Validation error";"GPR Validation error";"Cab"
"3";"MTN";1;"Combined";"cab";1,4064951217622;0,437171450943192;"Validation error";"MTN Validation error";"Cab"
"4";"RFR";1;"Combined";"cab";1,43674789846078;0,157612912918151;"Validation error";"RFR Validation error";"Cab"
"5";"ANN";3;"Combined";"cab";3,09062761069193;0,561374066219473;"Validation error";"ANN Validation error";"Cab"
"6";"GPR";3;"Combined";"cab";6,80414578873904;0,622539438652049;"Validation error";"GPR Validation error";"Cab"
"7";"MTN";3;"Combined";"cab";1,93452015298497;0,437082179359433;"Validation error";"MTN Validation error";"Cab"
"8";"RFR";3;"Combined";"cab";2,68808225286378;0,103670519864533;"Validation error";"RFR Validation error";"Cab"
"9";"ANN";5;"Combined";"cab";4,86040253952945;0,501323971406685;"Validation error";"ANN Validation error";"Cab"
"10";"GPR";5;"Combined";"cab";8,92610214268869;1,07235361546503;"Validation error";"GPR Validation error";"Cab"
"11";"MTN";5;"Combined";"cab";3,77275684281754;0,324634314017794;"Validation error";"MTN Validation error";"Cab"
"12";"RFR";5;"Combined";"cab";4,2377168213605;0,157708302005503;"Validation error";"RFR Validation error";"Cab"
"13";"ANN";10;"Combined";"cab";11,6881386094099;0,727544060612096;"Validation error";"ANN Validation error";"Cab"
"14";"GPR";10;"Combined";"cab";17,1781091763907;1,70166443798722;"Validation error";"GPR Validation error";"Cab"
"15";"MTN";10;"Combined";"cab";10,9594843437076;0,612285533196272;"Validation error";"MTN Validation error";"Cab"
"16";"RFR";10;"Combined";"cab";11,3246798320683;0,317189327286904;"Validation error";"RFR Validation error";"Cab"
"17";"ANN";15;"Combined";"cab";22,9175785866481;1,95115000479166;"Validation error";"ANN Validation error";"Cab"
"18";"GPR";15;"Combined";"cab";27,417131091361;1,63594972885496;"Validation error";"GPR Validation error";"Cab"
"19";"MTN";15;"Combined";"cab";22,2079845320915;1,44950650257281;"Validation error";"MTN Validation error";"Cab"
"20";"RFR";15;"Combined";"cab";21,5578433414042;2,10839826285859;"Validation error";"RFR Validation error";"Cab"
"21";"ANN";20;"Combined";"cab";35,2146956773232;2,72387237841057;"Validation error";"ANN Validation error";"Cab"
"22";"GPR";20;"Combined";"cab";38,61718461768;3,22532454509351;"Validation error";"GPR Validation error";"Cab"
"23";"MTN";20;"Combined";"cab";34,8277043345471;2,91598318617882;"Validation error";"MTN Validation error";"Cab"
"24";"RFR";20;"Combined";"cab";34,5126008092815;2,91265619843987;"Validation error";"RFR Validation error";"Cab"
"25";"ANN";25;"Combined";"cab";50,0339300958132;2,53387095982123;"Validation error";"ANN Validation error";"Cab"
"26";"GPR";25;"Combined";"cab";51,3723161177787;2,57327729983362;"Validation error";"GPR Validation error";"Cab"
"27";"MTN";25;"Combined";"cab";49,3801702884599;2,81791971479338;"Validation error";"MTN Validation error";"Cab"
"28";"RFR";25;"Combined";"cab";47,0455453818817;2,87087346901042;"Validation error";"RFR Validation error";"Cab"
"29";"ANN";30;"Combined";"cab";58,2248778698368;6,40771996382974;"Validation error";"ANN Validation error";"Cab"
"30";"GPR";30;"Combined";"cab";58,2287031842801;4,48944469947198;"Validation error";"GPR Validation error";"Cab"
"31";"MTN";30;"Combined";"cab";56,6678028716495;5,63893197943729;"Validation error";"MTN Validation error";"Cab"
"32";"RFR";30;"Combined";"cab";55,0004922217234;4,22051687338008;"Validation error";"RFR Validation error";"Cab"
"33";"ANN";40;"Combined";"cab";69,236703617268;6,56637775190055;"Validation error";"ANN Validation error";"Cab"
"34";"GPR";40;"Combined";"cab";69,5045030588975;7,56757008271505;"Validation error";"GPR Validation error";"Cab"
"35";"MTN";40;"Combined";"cab";68,6506368789895;7,4024265501347;"Validation error";"MTN Validation error";"Cab"
"36";"RFR";40;"Combined";"cab";66,3679034648964;8,06944511121945;"Validation error";"RFR Validation error";"Cab"
"37";"ANN";50;"Combined";"cab";70,2854057320693;4,7065012077213;"Validation error";"ANN Validation error";"Cab"
"38";"GPR";50;"Combined";"cab";70,3175324623286;4,87142147718454;"Validation error";"GPR Validation error";"Cab"
"39";"MTN";50;"Combined";"cab";70,2651648838008;4,42820748510092;"Validation error";"MTN Validation error";"Cab"
"40";"RFR";50;"Combined";"cab";70,0725534042245;4,67632200280487;"Validation error";"RFR Validation error";"Cab"
"41";"ANN";1;"Inverted";"cab";2,47320746640353;0,778657799216971;"Validation error";"ANN Validation error";"Cab"
"42";"GPR";1;"Inverted";"cab";4,89371537264875;0,740035290074311;"Validation error";"GPR Validation error";"Cab"
"43";"MTN";1;"Inverted";"cab";1,500220233413;0,460613755799058;"Validation error";"MTN Validation error";"Cab"
"44";"RFR";1;"Inverted";"cab";1,96779410097887;0,159650739622495;"Validation error";"RFR Validation error";"Cab"
"45";"ANN";3;"Inverted";"cab";4,19374063331185;0,374650366060467;"Validation error";"ANN Validation error";"Cab"
"46";"GPR";3;"Inverted";"cab";7,27904147477774;0,821750413135913;"Validation error";"GPR Validation error";"Cab"
"47";"MTN";3;"Inverted";"cab";3,66996579004373;0,585180915005381;"Validation error";"MTN Validation error";"Cab"
"48";"RFR";3;"Inverted";"cab";4,31672118230302;0,233086228824447;"Validation error";"RFR Validation error";"Cab"
"49";"ANN";5;"Inverted";"cab";7,93263795361272;0,637776608681641;"Validation error";"ANN Validation error";"Cab"
"50";"GPR";5;"Inverted";"cab";10,4865052162785;0,915062573026789;"Validation error";"GPR Validation error";"Cab"
"51";"MTN";5;"Inverted";"cab";7,10054458562236;0,532398544935225;"Validation error";"MTN Validation error";"Cab"
"52";"RFR";5;"Inverted";"cab";7,92881007205647;0,479302469258059;"Validation error";"RFR Validation error";"Cab"
"53";"ANN";10;"Inverted";"cab";23,7604057821387;1,24677266241605;"Validation error";"ANN Validation error";"Cab"
"54";"GPR";10;"Inverted";"cab";26,4555007493474;1,37231533509476;"Validation error";"GPR Validation error";"Cab"
"55";"MTN";10;"Inverted";"cab";23,3329441110369;1,39847486689738;"Validation error";"MTN Validation error";"Cab"
"56";"RFR";10;"Inverted";"cab";24,37696698707;1,68132179672227;"Validation error";"RFR Validation error";"Cab"
"57";"ANN";15;"Inverted";"cab";44,406117898705;5,64420643673328;"Validation error";"ANN Validation error";"Cab"
"58";"GPR";15;"Inverted";"cab";43,9216650431769;4,8809563981763;"Validation error";"GPR Validation error";"Cab"
"59";"MTN";15;"Inverted";"cab";43,2101577311075;4,8860366380001;"Validation error";"MTN Validation error";"Cab"
"60";"RFR";15;"Inverted";"cab";44,314558379995;4,92685732649421;"Validation error";"RFR Validation error";"Cab"
"61";"ANN";20;"Inverted";"cab";61,3841368708332;7,37881373428478;"Validation error";"ANN Validation error";"Cab"
"62";"GPR";20;"Inverted";"cab";61,3966021992347;6,67184941190622;"Validation error";"GPR Validation error";"Cab"
"63";"MTN";20;"Inverted";"cab";60,4837844790287;6,68039295618027;"Validation error";"MTN Validation error";"Cab"
"64";"RFR";20;"Inverted";"cab";60,9013498725807;6,20911773147224;"Validation error";"RFR Validation error";"Cab"
"65";"ANN";25;"Inverted";"cab";71,5153222390579;5,00022759622926;"Validation error";"ANN Validation error";"Cab"
"66";"GPR";25;"Inverted";"cab";70,8326059435939;4,13301111667051;"Validation error";"GPR Validation error";"Cab"
"67";"MTN";25;"Inverted";"cab";71,2925549697201;3,9679819178452;"Validation error";"MTN Validation error";"Cab"
"68";"RFR";25;"Inverted";"cab";70,8627064155481;4,29286181254918;"Validation error";"RFR Validation error";"Cab"
"69";"ANN";30;"Inverted";"cab";70,5188131838716;4,04936024083339;"Validation error";"ANN Validation error";"Cab"
"70";"GPR";30;"Inverted";"cab";71,8751777171051;4,2011132665795;"Validation error";"GPR Validation error";"Cab"
"71";"MTN";30;"Inverted";"cab";71,3904081728863;4,6797950727304;"Validation error";"MTN Validation error";"Cab"
"72";"RFR";30;"Inverted";"cab";72,1740139090309;4,33180944627699;"Validation error";"RFR Validation error";"Cab"
"73";"ANN";40;"Inverted";"cab";77,3355023072606;9,56496858463358;"Validation error";"ANN Validation error";"Cab"
"74";"GPR";40;"Inverted";"cab";75,1823458455101;9,58469745866758;"Validation error";"GPR Validation error";"Cab"
"75";"MTN";40;"Inverted";"cab";77,0124250965116;10,8495834239115;"Validation error";"MTN Validation error";"Cab"
"76";"RFR";40;"Inverted";"cab";75,2962262060014;8,72205016777858;"Validation error";"RFR Validation error";"Cab"
"77";"ANN";50;"Inverted";"cab";75,8117951066699;8,5995660935508;"Validation error";"ANN Validation error";"Cab"
"78";"GPR";50;"Inverted";"cab";75,613611083492;7,27943177547906;"Validation error";"GPR Validation error";"Cab"
"79";"MTN";50;"Inverted";"cab";74,9739286769604;8,19640065944557;"Validation error";"MTN Validation error";"Cab"
"80";"RFR";50;"Inverted";"cab";75,919820397045;8,13323872181824;"Validation error";"RFR Validation error";"Cab"
"81";"ANN";1;"Combined";"cm";3,2338946533239;0,596750534541241;"Validation error";"ANN Validation error";"Cm"
"82";"GPR";1;"Combined";"cm";11,031280903322;1,25656822891281;"Validation error";"GPR Validation error";"Cm"
"83";"MTN";1;"Combined";"cm";2,77690781187075;0,698008696243525;"Validation error";"MTN Validation error";"Cm"
"84";"RFR";1;"Combined";"cm";37,4211083561725;3,60065515862565;"Validation error";"RFR Validation error";"Cm"
"85";"ANN";3;"Combined";"cm";7,03541561983141;0,641402214203105;"Validation error";"ANN Validation error";"Cm"
"86";"GPR";3;"Combined";"cm";14,8480789785116;1,200062427229;"Validation error";"GPR Validation error";"Cm"
"87";"MTN";3;"Combined";"cm";6,74948891625839;0,408714401419012;"Validation error";"MTN Validation error";"Cm"
"88";"RFR";3;"Combined";"cm";31,4879904868656;1,92630784949669;"Validation error";"RFR Validation error";"Cm"
"89";"ANN";5;"Combined";"cm";13,9804150158291;1,5450431050046;"Validation error";"ANN Validation error";"Cm"
"90";"GPR";5;"Combined";"cm";18,6364867985869;1,45697130666497;"Validation error";"GPR Validation error";"Cm"
"91";"MTN";5;"Combined";"cm";13,633306937132;1,23437978862197;"Validation error";"MTN Validation error";"Cm"
"92";"RFR";5;"Combined";"cm";30,6883951570731;2,75431424846339;"Validation error";"RFR Validation error";"Cm"
"93";"ANN";10;"Combined";"cm";23,7174054386954;1,78251601236382;"Validation error";"ANN Validation error";"Cm"
"94";"GPR";10;"Combined";"cm";25,343990212969;1,6784148978096;"Validation error";"GPR Validation error";"Cm"
"95";"MTN";10;"Combined";"cm";23,1544952300327;1,67377236212662;"Validation error";"MTN Validation error";"Cm"
"96";"RFR";10;"Combined";"cm";32,3654504224564;3,14839718430013;"Validation error";"RFR Validation error";"Cm"
"97";"ANN";15;"Combined";"cm";29,9471893640351;4,05217146007199;"Validation error";"ANN Validation error";"Cm"
"98";"GPR";15;"Combined";"cm";30,9416739708958;4,40974190085653;"Validation error";"GPR Validation error";"Cm"
"99";"MTN";15;"Combined";"cm";29,7634973993052;4,00800600604511;"Validation error";"MTN Validation error";"Cm"
"100";"RFR";15;"Combined";"cm";36,9176048958044;5,00761233795013;"Validation error";"RFR Validation error";"Cm"
"101";"ANN";20;"Combined";"cm";35,1875012986724;2,930673185297;"Validation error";"ANN Validation error";"Cm"
"102";"GPR";20;"Combined";"cm";34,3069941109324;2,1317259185974;"Validation error";"GPR Validation error";"Cm"
"103";"MTN";20;"Combined";"cm";34,256272900951;2,05532132519817;"Validation error";"MTN Validation error";"Cm"
"104";"RFR";20;"Combined";"cm";38,9964254167699;2,21591872729084;"Validation error";"RFR Validation error";"Cm"
"105";"ANN";25;"Combined";"cm";38,9356512730639;2,7159236925449;"Validation error";"ANN Validation error";"Cm"
"106";"GPR";25;"Combined";"cm";37,9805693470157;2,38439647743759;"Validation error";"GPR Validation error";"Cm"
"107";"MTN";25;"Combined";"cm";38,3088616232273;2,92321202349875;"Validation error";"MTN Validation error";"Cm"
"108";"RFR";25;"Combined";"cm";41,0056124555666;2,16241040288869;"Validation error";"RFR Validation error";"Cm"
"109";"ANN";30;"Combined";"cm";40,1653572607563;2,70298348837117;"Validation error";"ANN Validation error";"Cm"
"110";"GPR";30;"Combined";"cm";40,170109912867;3,45503516093407;"Validation error";"GPR Validation error";"Cm"
"111";"MTN";30;"Combined";"cm";41,2148555637266;3,41195281389137;"Validation error";"MTN Validation error";"Cm"
"112";"RFR";30;"Combined";"cm";42,6386887283383;3,46010360611568;"Validation error";"RFR Validation error";"Cm"
"113";"ANN";40;"Combined";"cm";43,1275659500021;3,13668028513373;"Validation error";"ANN Validation error";"Cm"
"114";"GPR";40;"Combined";"cm";41,7079670727808;2,60076902185429;"Validation error";"GPR Validation error";"Cm"
"115";"MTN";40;"Combined";"cm";42,6827427025396;2,33724230517097;"Validation error";"MTN Validation error";"Cm"
"116";"RFR";40;"Combined";"cm";43,0066436233932;2,40201246377243;"Validation error";"RFR Validation error";"Cm"
"117";"ANN";50;"Combined";"cm";45,2795550209193;2,73700051609196;"Validation error";"ANN Validation error";"Cm"
"118";"GPR";50;"Combined";"cm";43,8302188993163;2,83941083033404;"Validation error";"GPR Validation error";"Cm"
"119";"MTN";50;"Combined";"cm";45,44869848341;3,56213045503527;"Validation error";"MTN Validation error";"Cm"
"120";"RFR";50;"Combined";"cm";43,989336655117;2,82221379880765;"Validation error";"RFR Validation error";"Cm"
"121";"ANN";1;"Inverted";"cm";4,21563823505988;0,564292836989805;"Validation error";"ANN Validation error";"Cm"
"122";"GPR";1;"Inverted";"cm";11,137138725299;1,25459531157152;"Validation error";"GPR Validation error";"Cm"
"123";"MTN";1;"Inverted";"cm";8,28254911385563;13,1796222681919;"Validation error";"MTN Validation error";"Cm"
"124";"RFR";1;"Inverted";"cm";34,1569434064543;3,74555519077962;"Validation error";"RFR Validation error";"Cm"
"125";"ANN";3;"Inverted";"cm";13,468021017994;1,24110868120939;"Validation error";"ANN Validation error";"Cm"
"126";"GPR";3;"Inverted";"cm";17,6695852442785;1,15537810453583;"Validation error";"GPR Validation error";"Cm"
"127";"MTN";3;"Inverted";"cm";13,2479460729932;0,892503231384058;"Validation error";"MTN Validation error";"Cm"
"128";"RFR";3;"Inverted";"cm";30,4846128378493;2,16229314630144;"Validation error";"RFR Validation error";"Cm"
"129";"ANN";5;"Inverted";"cm";21,0494710946154;1,77785474696878;"Validation error";"ANN Validation error";"Cm"
"130";"GPR";5;"Inverted";"cm";23,1198415975145;1,78793784238094;"Validation error";"GPR Validation error";"Cm"
"131";"MTN";5;"Inverted";"cm";20,9180005246774;1,71087915862163;"Validation error";"MTN Validation error";"Cm"
"132";"RFR";5;"Inverted";"cm";29,8423920847886;2,81615721506255;"Validation error";"RFR Validation error";"Cm"
"133";"ANN";10;"Inverted";"cm";28,12137557659;2,66664114976414;"Validation error";"ANN Validation error";"Cm"
"134";"GPR";10;"Inverted";"cm";28,9895734961676;2,80378008206078;"Validation error";"GPR Validation error";"Cm"
"135";"MTN";10;"Inverted";"cm";27,4123717642096;2,24102451213717;"Validation error";"MTN Validation error";"Cm"
"136";"RFR";10;"Inverted";"cm";31,5360478363676;3,15066501962192;"Validation error";"RFR Validation error";"Cm"
"137";"ANN";15;"Inverted";"cm";33,0807640310788;5,17117882390498;"Validation error";"ANN Validation error";"Cm"
"138";"GPR";15;"Inverted";"cm";33,0296585731366;4,42848071899233;"Validation error";"GPR Validation error";"Cm"
"139";"MTN";15;"Inverted";"cm";32,1465618936882;4,14122881815862;"Validation error";"MTN Validation error";"Cm"
"140";"RFR";15;"Inverted";"cm";36,8259243899756;4,49839354776798;"Validation error";"RFR Validation error";"Cm"
"141";"ANN";20;"Inverted";"cm";36,6239233588132;2,33378126809982;"Validation error";"ANN Validation error";"Cm"
"142";"GPR";20;"Inverted";"cm";36,8822205188367;2,53263981546875;"Validation error";"GPR Validation error";"Cm"
"143";"MTN";20;"Inverted";"cm";37,7226326197761;4,23110503933914;"Validation error";"MTN Validation error";"Cm"
"144";"RFR";20;"Inverted";"cm";39,6368841888054;2,68187641916543;"Validation error";"RFR Validation error";"Cm"
"145";"ANN";25;"Inverted";"cm";41,3477546032797;3,07570873397257;"Validation error";"ANN Validation error";"Cm"
"146";"GPR";25;"Inverted";"cm";40,2267133280802;2,55685384886348;"Validation error";"GPR Validation error";"Cm"
"147";"MTN";25;"Inverted";"cm";41,1766427442043;2,40944382710726;"Validation error";"MTN Validation error";"Cm"
"148";"RFR";25;"Inverted";"cm";41,8180969311393;1,5388256645915;"Validation error";"RFR Validation error";"Cm"
"149";"ANN";30;"Inverted";"cm";43,5517374456071;3,34680874438006;"Validation error";"ANN Validation error";"Cm"
"150";"GPR";30;"Inverted";"cm";42,6498622950145;3,02700841612023;"Validation error";"GPR Validation error";"Cm"
"151";"MTN";30;"Inverted";"cm";42,7017251963604;3,5044869767093;"Validation error";"MTN Validation error";"Cm"
"152";"RFR";30;"Inverted";"cm";43,1613120393592;3,16905202585261;"Validation error";"RFR Validation error";"Cm"
"153";"ANN";40;"Inverted";"cm";44,5800743436367;2,02616786297344;"Validation error";"ANN Validation error";"Cm"
"154";"GPR";40;"Inverted";"cm";43,85355451482;2,01434498855756;"Validation error";"GPR Validation error";"Cm"
"155";"MTN";40;"Inverted";"cm";44,7669792501851;1,53208756024915;"Validation error";"MTN Validation error";"Cm"
"156";"RFR";40;"Inverted";"cm";43,7012551900557;2,02263867004064;"Validation error";"RFR Validation error";"Cm"
"157";"ANN";50;"Inverted";"cm";45,880068156595;4,76596251669431;"Validation error";"ANN Validation error";"Cm"
"158";"GPR";50;"Inverted";"cm";44,6791065584367;2,24560359693474;"Validation error";"GPR Validation error";"Cm"
"159";"MTN";50;"Inverted";"cm";44,0524616439096;2,13004946951733;"Validation error";"MTN Validation error";"Cm"
"160";"RFR";50;"Inverted";"cm";43,9747456302108;2,43758211614885;"Validation error";"RFR Validation error";"Cm"
"161";"ANN";1;"Combined";"cw";2,90032201662971;0,737818150015093;"Validation error";"ANN Validation error";"Cw"
"162";"GPR";1;"Combined";"cw";7,18422967783872;0,677072843077538;"Validation error";"GPR Validation error";"Cw"
"163";"MTN";1;"Combined";"cw";2,63887347397353;0,608085018772196;"Validation error";"MTN Validation error";"Cw"
"164";"RFR";1;"Combined";"cw";41,5214960591447;3,80724292090197;"Validation error";"RFR Validation error";"Cw"
"165";"ANN";3;"Combined";"cw";5,61461879658786;0,73160725390736;"Validation error";"ANN Validation error";"Cw"
"166";"GPR";3;"Combined";"cw";10,2236412452955;0,803234470380328;"Validation error";"GPR Validation error";"Cw"
"167";"MTN";3;"Combined";"cw";5,41549026887873;0,350430337281825;"Validation error";"MTN Validation error";"Cw"
"168";"RFR";3;"Combined";"cw";38,6059565702658;4,02361477802899;"Validation error";"RFR Validation error";"Cw"
"169";"ANN";5;"Combined";"cw";10,9813805183147;1,08810722854187;"Validation error";"ANN Validation error";"Cw"
"170";"GPR";5;"Combined";"cw";14,3954594446153;1,41389222472092;"Validation error";"GPR Validation error";"Cw"
"171";"MTN";5;"Combined";"cw";11,900516109667;1,49984545806069;"Validation error";"MTN Validation error";"Cw"
"172";"RFR";5;"Combined";"cw";37,4224679897605;3,13834653720471;"Validation error";"RFR Validation error";"Cw"
"173";"ANN";10;"Combined";"cw";21,2714970981907;2,05034785986602;"Validation error";"ANN Validation error";"Cw"
"174";"GPR";10;"Combined";"cw";22,8445214256923;1,41671940351864;"Validation error";"GPR Validation error";"Cw"
"175";"MTN";10;"Combined";"cw";20,9673735110366;1,76960753614283;"Validation error";"MTN Validation error";"Cw"
"176";"RFR";10;"Combined";"cw";35,9374256898385;2,38177992543469;"Validation error";"RFR Validation error";"Cw"
"177";"ANN";15;"Combined";"cw";28,1419608964707;1,45637946546221;"Validation error";"ANN Validation error";"Cw"
"178";"GPR";15;"Combined";"cw";28,768961723377;1,74028420234008;"Validation error";"GPR Validation error";"Cw"
"179";"MTN";15;"Combined";"cw";28,2900185851111;1,35423685912033;"Validation error";"MTN Validation error";"Cw"
"180";"RFR";15;"Combined";"cw";36,9751861371704;2,49351796095275;"Validation error";"RFR Validation error";"Cw"
"181";"ANN";20;"Combined";"cw";35,0141813495831;3,58649912527445;"Validation error";"ANN Validation error";"Cw"
"182";"GPR";20;"Combined";"cw";34,3771079169327;2,9413902161618;"Validation error";"GPR Validation error";"Cw"
"183";"MTN";20;"Combined";"cw";34,3608042987596;2,95638810209006;"Validation error";"MTN Validation error";"Cw"
"184";"RFR";20;"Combined";"cw";39,3764467445046;3,31953985705006;"Validation error";"RFR Validation error";"Cw"
"185";"ANN";25;"Combined";"cw";38,4322151155836;3,27781502091407;"Validation error";"ANN Validation error";"Cw"
"186";"GPR";25;"Combined";"cw";37,7492842728816;3,22714297265861;"Validation error";"GPR Validation error";"Cw"
"187";"MTN";25;"Combined";"cw";37,6980188828206;3,30777290998727;"Validation error";"MTN Validation error";"Cw"
"188";"RFR";25;"Combined";"cw";40,6023994788163;3,25451452047076;"Validation error";"RFR Validation error";"Cw"
"189";"ANN";30;"Combined";"cw";39,7490937956426;4,30823855823393;"Validation error";"ANN Validation error";"Cw"
"190";"GPR";30;"Combined";"cw";39,4077391992178;4,16568377772488;"Validation error";"GPR Validation error";"Cw"
"191";"MTN";30;"Combined";"cw";39,8379328989275;4,52690269500458;"Validation error";"MTN Validation error";"Cw"
"192";"RFR";30;"Combined";"cw";41,8886304647442;3,66882671031795;"Validation error";"RFR Validation error";"Cw"
"193";"ANN";40;"Combined";"cw";42,7135147100767;3,22884774266345;"Validation error";"ANN Validation error";"Cw"
"194";"GPR";40;"Combined";"cw";42,1803214089338;2,41760133973071;"Validation error";"GPR Validation error";"Cw"
"195";"MTN";40;"Combined";"cw";42,7461165427664;2,61854244073397;"Validation error";"MTN Validation error";"Cw"
"196";"RFR";40;"Combined";"cw";42,6345457210554;2,50630673231619;"Validation error";"RFR Validation error";"Cw"
"197";"ANN";50;"Combined";"cw";43,1024042272098;2,67578779149136;"Validation error";"ANN Validation error";"Cw"
"198";"GPR";50;"Combined";"cw";42,8606147616763;2,60815712240771;"Validation error";"GPR Validation error";"Cw"
"199";"MTN";50;"Combined";"cw";42,5183772989943;2,85957121885706;"Validation error";"MTN Validation error";"Cw"
"200";"RFR";50;"Combined";"cw";42,8623152837741;2,77462813355226;"Validation error";"RFR Validation error";"Cw"
"201";"ANN";1;"Inverted";"cw";3,50054164717498;0,576827435100231;"Validation error";"ANN Validation error";"Cw"
"202";"GPR";1;"Inverted";"cw";7,23015934023265;0,732617093881617;"Validation error";"GPR Validation error";"Cw"
"203";"MTN";1;"Inverted";"cw";3,43548328118555;1,35794367816049;"Validation error";"MTN Validation error";"Cw"
"204";"RFR";1;"Inverted";"cw";40,397058615439;3,65499311318009;"Validation error";"RFR Validation error";"Cw"
"205";"ANN";3;"Inverted";"cw";9,62052646096627;0,924494026203086;"Validation error";"ANN Validation error";"Cw"
"206";"GPR";3;"Inverted";"cw";12,2112678947319;1,03604672165753;"Validation error";"GPR Validation error";"Cw"
"207";"MTN";3;"Inverted";"cw";9,77798681430715;0,568288096481296;"Validation error";"MTN Validation error";"Cw"
"208";"RFR";3;"Inverted";"cw";37,0710986022981;3,55082835050721;"Validation error";"RFR Validation error";"Cw"
"209";"ANN";5;"Inverted";"cw";15,3026989451428;1,55842227435177;"Validation error";"ANN Validation error";"Cw"
"210";"GPR";5;"Inverted";"cw";17,3022361654431;1,6829084602239;"Validation error";"GPR Validation error";"Cw"
